ID,Aspect Ratio,CSFD exponent,Dispersion [m],Effective Diameter [m],Large Crater Fraction,Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters
ESP_059451_1950,0.377607689,-1.822493465,123.6760673,14.05585718,0.018518519,12.3,1.825,1.05,54,1
ESP_059453_1335,0.393146831,-1.341937249,36.05884973,5.636247394,0.25,4.630377,1.6259145,1.236298,8,2
ESP_059491_1990,0.461585409,-0.764742303,51.14748299,3.826724038,0.4,2.95,1.28,1.06,5,2
ESP_059523_2020,0.376375305,-1.111760794,58.65361305,23.24779763,0.125,21.8,3.23,1.43,16,2
ESP_059632_1975,0.398235538,-1.023140878,231.2252853,7.135763146,0.222222222,6.47,1.17,1.01,9,2
ESP_059668_1300,1,0,212.5177006,1.969924241,1,1.72,1.1,1.07,3,3
ESP_059701_1955,1,0,84.93132816,4.510534873,1,4.29,3.315,2.34,2,2
ESP_059705_1980,0.488229053,-1.471306753,70.57376142,9.766297438,0.533333333,5.53,3.25,1.26,15,8
ESP_059728_1740,0.236487143,-1.36711076,52.98359995,7.002121211,0.3,5.934347,1.9877025,1.050978,10,3
ESP_059998_2115,0.470515722,-1.22276113,104.447667,8.582744815,0.333333333,6.895304,2.6595775,1.052877,12,4
ESP_060047_1915,0.69899196,-1.395942562,53.57331872,7.840541286,0.153846154,6.741367,2.190155,1.020828,13,2
ESP_060058_1940,0.247345078,-2.005443496,42.25841997,5.036950075,0.25,4.182701,1.6195695,1.036755,12,3
ESP_060091_1630,1,0,100.0144382,3.689041857,1,2.769032,2.7533,2.008364,3,3
ESP_060242_1745,0.505691534,-0.980734146,23.91535317,8.594179418,0.285714286,7.894405,2.856081,1.327997,7,2
ESP_060342_1315,0.542272467,-1.613865466,131.6062385,5.817412544,0.5,4.724428,2.334563,1.209511,8,4
ESP_061104_1655,0.467453603,-0.68918735,38.41646381,24.21540322,0.222222222,19.52844238,2.984474182,1.369855881,9,2
ESP_061206_1735,0.469321752,-1.68858961,22.27935217,6.754712531,0.142857143,5.764397,1.904564,1.00363,14,2
ESP_061574_1925,1,0,135.1131454,2.942635396,0.25,2.761768,1.1712605,1.039862,4,1
ESP_061806_1810,0.365575726,-1.822297309,283.3045704,6.601732696,0.166666667,5.40608,1.7289545,1.007612,18,3
ESP_061812_2230,0.390060699,-1.596555742,12.44048315,5.33470178,0.5,4.120995,2.063408,1.41069,8,4
ESP_061869_1690,0.561044912,-1.120324006,45.86048881,11.01997863,0.1,10.61701,1.938448,1.141684,10,1
ESP_061935_1850,1,0,14.27952733,4.299119528,0.5,4.229711533,2.894188881,1.558666229,2,1
ESP_061997_2275,1,0,48.17064595,5.49490911,1,4.748353958,4.319056511,3.889759064,2,2
ESP_062140_1745,0.423248147,-1.75008961,7.576190921,3.762291556,0.8,2.977217,2.005222,1.191265,5,4
ESP_062234_2080,0.341802519,-1.623358959,58.10385981,10.26978673,0.170731707,6.649406,1.710192,1.008053,41,7
ESP_062370_2095,0.360724634,-0.53676539,31.13337734,13.02928183,0.2,13.013685,1.233232,1.054998,5,1
ESP_062550_2030,0.454769068,-1.861408781,53.53221641,12.79366019,0.12195122,7.451599,1.662524,1.018515,82,10
ESP_062571_1960,0.771787413,-2.237698404,48.95950319,10.50693288,0.035714286,8.839676,1.597221,1.006893,56,2
ESP_062861_1845,0.244495721,-2.092345828,21.63415955,5.324435106,0.421052632,3.279619,1.576145,1.001118,19,8
ESP_062984_1975,1,0,60.43886432,4.263348838,0.333333333,4.132393,1.592075,1.42412,3,1
ESP_062999_2145,1,0,76.32738361,1.892658632,1,1.496151,1.221615,1.171467,3,3
ESP_063228_2180,1,0,31.99902614,3.019270223,0.5,2.670645,1.457659,1.213589,4,2
ESP_063533_1975,0.588742833,-2.188074519,334.3320907,4.955049092,0.153846154,4.045961,1.523182,1.085501,13,2
ESP_063768_2270,1,0,7.337113217,3.235153791,0.666666667,2.955572,1.753281,1.384199,3,2
ESP_063861_1855,1,0,147.4777347,3.470828958,0.666666667,3.187784,2.003008,1.113758,3,2
ESP_063930_2125,0.437680665,-1.623218948,43.48194229,5.966344706,0.357142857,4.38026,1.561496,1.035847,14,5
