,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,2.05E-08,64.74686582,1,0.003127098,0,1817.101513,0,8.23704606,1.1,1,52.27381191,8.23704606,8.23704606,8.23704606,1,1,0.190081036,867.0995934,0.25,8.128313499
1,2.05E-08,45.43792391,0.58613886,0.09783411,-1.488786354,2647.701949,39.03580828,7.008396244,1.1,0.133333333,47.83503134,6.141917542,1.378776437,1.040468121,15,2,0.162778154,740.4521477,0.25,10.187595
2,2.71E-08,24.33119617,1,0.390228987,0,1683.4633,0,0,1.1,0,22.54666499,0,0,0,0,0,0.147320556,70.27217798,0.25,10.3368183
3,3.12E-08,41.85855382,0.211484984,0.016586781,-2.055743495,3566.384108,52.66148632,4.266998929,1.1,0.8,19.60318579,3.1634086,2.330013395,1.501506793,5,4,0.109480468,591.94779,0.25,11.17246877
4,1.27E-08,20.48472832,0.096980574,1.139273882,-1.223747221,2537.154328,697.4379546,7.048705676,1.1,0.285714286,250.4590695,6.092896621,2.675239427,1.339288668,7,2,0.286704003,74.05693588,0.25,6.218255292
5,3.54E-08,36.47671526,0.358300058,0.080369234,-1.69802742,3506.308099,51.36471301,4.031303051,1.1,0.222222222,20.98890571,3.455395254,1.189236826,1.004071091,9,2,0.112637682,212.0611445,0.25,7.382197012
6,1.34E-08,52.66047676,0.307329454,0.396212816,-0.865925561,2056.565821,122.6456345,10.61205453,1.1,0.416666667,116.5604922,7.218617041,1.566764531,1.025029741,12,5,0.238290493,314.1898559,0.25,12.15734253
7,2.99E-08,69.4858471,1,0.003399134,0,2421.339988,0,5.482033058,1.1,1,17.77872424,5.482033058,5.482033058,5.482033058,1,1,0.120573556,1718.148344,0.25,12.09765321
8,1.97E-08,67.36001658,1,0.787900209,0,1635.046261,69.259945,2.572747544,1.1,0.5,25.81153304,2.273019691,1.255868823,1.062264183,4,2,0.15561987,137.7143484,0.25,11.41122604
9,1.21E-08,37.44412639,1,0.003186941,0,3985.206647,0,9.663233765,1.1,1,116.4740119,9.663233765,9.663233765,9.663233765,1,1,0.191086436,1374.13145,0.25,7.053905758
