,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,4.06E-08,3.623804194,1,0.005163908,0,2828.086687,0,0,1.1,0,23.03861093,0,0,0,0,0,0.124822149,7110.44375,0.25,7.412041671
1,3.89E-08,48.31601893,0.521288888,0.031670094,-0.916308424,2247.61165,34.42203053,6.178332402,1.1,0.2,40.74618381,5.909315731,2.18217521,1.052290344,5,1,0.162964254,415.9809427,0.25,7.50157565
2,2.63E-08,41.68128934,1,0.00489068,0,3784.958695,0,4.81661955,1.1,1,16.63079792,4.81661955,4.81661955,4.81661955,1,1,0.101606411,2014.140301,0.25,11.82905127
3,4.12E-08,44.46056171,0.271485043,3.394393682,-2.180577441,2808.437864,92.08714544,2.978748991,1.1,0.5,201.6725824,2.462182076,1.316840028,1.074728066,6,3,0.257848421,21.79345305,0.25,14.03755607
4,2.75E-08,54.87178104,0.538374111,2.387434959,-2.311658705,1923.536075,81.51395846,5.655867923,1.1,0.333333333,140.3891174,3.658646119,1.540526445,1.029109046,24,8,0.259247653,12.14935157,0.25,11.88874059
5,1.99E-08,51.80294799,0.352258988,0.686574936,-1.721243723,3244.527714,59.91743104,5.438283134,1.1,0.4,41.37685715,4.115110115,2.001352773,1.166392809,10,4,0.144934731,56.8736963,0.25,14.09724539
6,3.50E-08,79.16337421,1,0.002182007,0,3584.64223,0,7.187040987,1.1,1,26.11107678,7.187040987,7.187040987,7.187040987,1,1,0.12025324,941.8521266,0.25,8.784896007
7,2.74E-08,34.92958172,1,0.003652096,0,2874.081139,0,4.909370276,1.1,1,28.07172455,4.909370276,4.909370276,4.909370276,1,1,0.132605179,2699.975084,0.25,11.02324547
8,3.43E-08,53.32577333,1,0.002369881,0,2480.610367,0,13.93939058,1.1,1,235.8516104,13.93939058,13.93939058,13.93939058,1,1,0.283137392,2717.157786,0.25,11.23215808
9,1.89E-08,15.88520015,1,0.008096933,0,3826.829949,0,2.673255162,1.1,1,31.58180322,2.673255162,2.673255162,2.673255162,1,1,0.125363098,426.3242516,0.25,8.217847477
10,1.69E-08,39.01525612,1,0.02636075,0,2840.609768,95.01946361,4.798462788,1.1,0.666666667,24.31486942,4.195592926,3.221838513,1.471659262,3,2,0.126898723,583.5664885,0.25,15.14180848
11,1.25E-08,31.25043778,1,1.058462381,0,2410.984543,0,1.036417999,1.1,1,18.53630977,1.036417999,1.036417999,1.036417999,1,1,0.122437207,110.1614372,0.25,13.7987988
12,2.59E-08,65.6955739,1,0.002084017,0,2939.720576,0,12.7411033,1.1,1,186.4178155,12.7411033,12.7411033,12.7411033,1,1,0.24737981,6631.242559,0.25,6.427167909
13,3.91E-08,30.79603512,1,0.004308939,0,3864.296005,0,4.523270071,1.1,1,26.00292273,4.523270071,4.523270071,4.523270071,1,1,0.117117301,2383.136991,0.25,7.322507693
14,1.04E-08,44.04420413,1,0.003283978,0,2309.467982,0,5.187459894,1.1,1,21.31164365,5.187459894,5.187459894,5.187459894,1,1,0.130118425,9416.849022,0.25,6.665925184
15,2.84E-08,84.32376832,1,0.002275705,0,2806.32646,0,6.037705383,1.1,1,16.84460777,6.037705383,6.037705383,6.037705383,1,1,0.112740001,3256.06992,0.25,11.38138138
16,3.80E-08,57.60372209,0.358262516,0.714570999,-3.513049129,3779.226464,60.66297038,2.842572732,1.1,1,29.73768953,1.670072976,1.348011621,1.025410557,9,9,0.123387709,24.58801998,0.25,10.4860416
17,1.52E-08,28.01144495,1,0.004417181,0,3637.043253,0,4.270201838,1.1,1,18.43527436,4.270201838,4.270201838,4.270201838,1,1,0.106562445,780.2710851,0.25,10.78448819
18,3.45E-08,36.26443107,1,0.003496885,0,2902.534554,0,4.981456881,1.1,1,39.09380721,4.981456881,4.981456881,4.981456881,1,1,0.147598061,2809.755288,0.25,12.78408038
19,2.10E-08,46.37032834,1,0.002802134,0,3018.28702,0,8.543688982,1.1,1,68.30189163,8.543688982,8.543688982,8.543688982,1,1,0.175466627,678.9497203,0.25,7.770177585
20,2.55E-08,73.19033225,0.71006493,0.74125576,-2.091481018,2493.405334,54.24702028,4.495223734,1.1,0.5,34.10074605,2.754724263,1.340561077,1.097937616,14,7,0.148352247,14.36199208,0.25,9.531012494
21,2.90E-08,26.10379603,1,0.006570101,0,1756.825165,0,2.731212487,1.1,1,16.96873557,2.731212487,2.731212487,2.731212487,1,1,0.13211256,430.7780041,0.25,7.382197012
22,3.86E-08,52.46704538,1,0.601999998,0,3452.906716,0,1.941580803,1.1,1,24.39766604,1.941580803,1.941580803,1.941580803,1,1,0.119039641,68.27584285,0.25,6.695769844
23,1.34E-08,47.2343305,1,0.003162861,0,1932.133185,0,11.68738535,1.1,1,141.1155699,11.68738535,11.68738535,11.68738535,1,1,0.259308302,2298.937976,0.25,10.87402217
24,3.71E-08,42.87591897,1,0.004014969,0,2724.721892,9.459589725,7.561545659,1.1,1,64.82353995,6.81001244,5.847167187,4.884321935,2,2,0.178418815,694.9227447,0.25,8.516294072
25,3.72E-08,75.33491089,1,0.003517151,0,3749.352585,11.03743684,7.136677816,1.1,1,46.22131222,5.93409793,5.650151158,5.366204387,2,2,0.143306468,2655.356861,0.25,17.79798317
26,2.98E-08,29.75620478,1,0.004401922,0,3285.954241,0,4.851526756,1.1,1,31.94913963,4.851526756,4.851526756,4.851526756,1,1,0.132404582,871.575099,0.25,8.008934861
