,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,1.59E-08,85.75489054,1,0.002686977,0,3777.491873,0,7.005848184,1.530265678,1,20.57900671,7.005848184,7.005848184,7.005848184,1,1,0.109155114,2110.208816,0.27960772,8.008934861
1,3.82E-08,4.730480724,1,0.005894899,0,1592.702288,0,0,1.21340575,0,247.8788468,0,0,0,0,0,0.333686588,1366.946057,0.389595908,6.486857228
2,4.18E-08,37.74685607,1,1.422655821,0,1930.31432,0,0,1.144752572,0,59.9873383,0,0,0,0,0,0.195035791,19.63145875,0.353817101,25.49790531
3,2.83E-08,71.79343806,1,0.002314091,0,2257.746265,0,6.856257566,1.625428308,1,31.56381974,6.856257566,6.856257566,6.856257566,1,1,0.149442895,831.8111079,0.335487838,6.964371779
4,1.76E-08,52.47367823,1,0.187326908,0,3267.991996,134.2673498,4.297469873,1.142336142,0.666666667,17.04452612,3.499942956,3.282576031,1.039447915,3,2,0.107581711,368.5809952,0.30499086,16.39528417
5,2.30E-08,25.66278895,1,0.004976034,0,2072.363338,0,5.98172391,2.032397744,1,92.40598128,5.98172391,5.98172391,5.98172391,1,1,0.219979321,1485.221742,0.376816744,11.590294
6,4.16E-08,27.4387803,0.520495435,0.296837807,-1.773277441,2223.492221,168.4198145,5.12471006,1.867885511,0.2,118.014203,4.269654648,1.471224691,1.224101639,10,2,0.233132785,330.2075906,0.375281312,8.277536796
7,1.10E-08,24.10822683,0.110163791,0.616146088,-1.703016963,3645.810386,375.3983692,4.548168415,1.553892108,0.857142857,52.80295847,3.035419288,2.596250599,1.291896448,7,6,0.151213949,30.43195317,0.317827171,8.128313499
8,2.38E-08,34.35473972,1,1.093952179,0,3978.105198,126.3595969,1.56145622,1.798577309,1,23.71091678,1.141111613,1.085505629,1.013840763,3,3,0.112476335,22.8205734,0.276283146,8.784896007
9,1.71E-08,23.54391765,1,0.006932974,0,1922.527485,0,1.429866003,0.787988505,1,20.76228223,1.429866003,1.429866003,1.429866003,1,1,0.137121211,4977.749086,0.263793272,19.02161421
10,4.12E-08,64.55363735,0.584672469,0.106025934,-1.179410263,1829.279622,26.13920418,10.48508213,1.052890104,0.333333333,169.0836987,8.660675857,2.747992332,1.037226545,12,4,0.280485885,604.7188334,0.295729718,11.50076002
11,2.23E-08,59.6814744,0.2183111,0.210807085,-1.106112118,2509.11818,63.07183818,4.63188378,0.994032594,0.2,22.07399118,4.433482105,1.55294119,1.091031873,5,1,0.128063012,348.1929012,0.250844335,8.874429986
12,4.20E-08,19.4072056,1,0.00650382,0,3130.599719,0,2.778075147,1.627777634,1,61.93789957,2.778075147,2.778075147,2.778075147,1,1,0.167782544,882.3313233,0.308185891,11.20231342
13,3.08E-08,55.96933936,1,0.177955151,0,2869.111647,63.88968229,1.998715551,1.372283937,1,20.93609953,1.836226582,1.525582405,1.214938229,2,2,0.120324271,440.7276094,0.264327861,16.36543951
14,3.82E-08,48.40700126,1,0.003881931,0,3878.662782,19.41579889,4.77932646,1.512406828,0.5,20.30246186,4.642270839,3.36597419,2.08967754,2,1,0.107710826,1414.111654,0.313532741,13.05268231
15,2.50E-08,29.31806165,1,0.00434804,0,3120.131271,0,4.30924928,1.740762595,1,27.72318311,4.30924928,4.30924928,4.30924928,1,1,0.128487399,1620.770047,0.342987465,11.94842991
16,2.11E-08,38.31993993,1,0.003826857,0,1452.508067,0,4.575931888,0.747525586,1,27.09551583,4.575931888,4.575931888,4.575931888,1,1,0.164524313,4771.926185,0.283403276,6.636080525
17,1.89E-08,39.23629334,0.42445928,0.012173176,-1.175192528,2154.205578,35.59707391,4.824790776,1.753567465,0.6,22.28081346,4.172669836,2.318798325,1.177198069,5,3,0.135161114,719.9724179,0.364200344,10.39650762
18,2.92E-08,10.87052338,1,0.024768829,0,3435.082108,0,2.563736974,1.730384774,1,110.8955102,2.563736974,2.563736974,2.563736974,1,1,0.197528338,176.0636929,0.286431527,7.352352352
19,3.63E-08,56.07872951,1,0.008582115,0,2077.223691,171.4547789,5.509344648,2.016769893,0.5,33.29819924,5.495143049,3.29184371,1.088544371,2,1,0.156416642,246.9433442,0.356066043,12.45578912
20,3.99E-08,54.49152821,0.592743456,0.31021595,-1.720018425,3959.762152,41.02779913,8.963519129,1.544166814,0.111111111,105.4813305,6.444251442,1.664927513,1.048159884,27,3,0.185270368,140.9801153,0.263407093,8.575983391
21,2.69E-08,46.70996531,0.537637287,0.045438051,-1.145100243,3045.653052,24.00629446,5.335872508,1.660941676,0.142857143,25.76329425,5.037434184,1.171220614,1.021551451,7,1,0.12639914,1086.930685,0.29352472,11.64998332
22,1.95E-08,24.40386822,1,0.006808758,0,1459.930142,0,2.233762166,2.05889764,1,15.62854284,2.233762166,2.233762166,2.233762166,1,1,0.136720174,1058.227946,0.283822035,10.69495421
23,1.69E-08,36.90367664,0.200889862,0.619275093,-1.943891956,3586.025304,77.09877216,3.711618207,0.676724278,0.571428571,25.51608757,2.879754507,1.693548494,1.047046657,7,4,0.119317472,28.91228592,0.326113593,12.93330367
24,3.01E-08,60.02662696,1,0.470556021,0,2576.559364,68.66080199,1.491723771,1.717511502,1,15.34582756,1.290424584,1.172171528,1.053918472,2,2,0.112448548,21.5402099,0.301548568,11.97827457
25,3.57E-08,22.88335279,1,0.005827665,0,1806.091454,0,2.607858138,1.496872065,1,21.47841767,2.607858138,2.607858138,2.607858138,1,1,0.14159828,1463.349723,0.374070361,6.546546547
26,1.72E-08,47.08719651,0.705493637,1.053776026,-1.734355665,3098.832214,80.68491509,7.574152152,2.013959573,0.185185185,105.9589292,5.004259222,1.452659715,1.00608259,27,5,0.20134938,116.6090651,0.372816963,6.606235865
27,3.61E-08,16.30513245,1,0.073606968,0,1810.883157,0,0,1.32939682,0,44.26723636,0,0,0,0,0,0.180039497,31.11322859,0.326162346,17.35031328
28,3.33E-08,35.84625697,0.331200568,10.43542075,-2.342120912,1639.431623,201.0364121,7.193360493,1.020819734,0.125,708.0736668,4.775780207,1.569608113,1.008245875,40,5,0.468920092,141.161889,0.363086803,8.337226115
29,2.96E-08,43.27656246,0.178933185,1.05637598,-1.478607206,2779.652084,116.2644765,7.238106585,0.688902291,0.315789474,115.2667667,4.537581682,1.641651572,1.014558242,19,6,0.214721247,120.8142806,0.289847629,7.740332926
30,2.49E-08,49.43335111,0.235944238,0.44342494,-1.855141705,3822.165836,84.57116948,6.80218109,0.677822563,0.3,53.5081907,4.043995196,1.388285391,1.002678048,30,9,0.149511309,38.7501376,0.258508416,7.859711563
31,3.23E-08,32.51679101,1,0.003437757,0,2178.650546,0,7.867264945,2.026929743,1,127.6934544,7.867264945,7.867264945,7.867264945,1,1,0.240970651,1907.17105,0.379738742,11.20231342
32,2.31E-08,23.75778033,1,0.005887032,0,2751.130878,0,3.623612176,2.104236189,1,31.66726602,3.623612176,3.623612176,3.623612176,1,1,0.140067347,1300.035647,0.353742127,11.67982798
33,4.08E-08,68.46108392,1,0.310874224,0,2201.246477,31.62343036,2.879012326,1.559238564,0.75,34.85775029,2.468681404,1.515317492,1.207149132,4,3,0.155780834,61.30626531,0.28310126,12.78408038
