,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,4.17E-08,75.74177747,1,0.003041029,0,1733.871871,0,6.55063956,1.1,1,38.70555025,6.55063956,6.55063956,6.55063956,1,1,0.174671699,8308.306868,0.25,11.02324547
1,2.13E-08,81.60144207,1,0.044015646,0,2040.591269,15.16122453,5.654802215,1.1,1,21.26383081,4.10074345,3.520050562,2.905774218,4,4,0.135497815,1349.02867,0.25,13.58988618
2,1.09E-08,70.08114254,1,0.002573013,0,2673.533311,0,11.31132917,1.1,1,88.60351891,11.31132917,11.31132917,11.31132917,1,1,0.199262506,1724.411613,0.25,8.814740667
3,2.06E-08,47.24284883,1,0.719897985,0,3401.205538,0,0,1.1,0,22.08327934,0,0,0,0,0,0.115730375,158.9760194,0.25,21.05105105
4,3.53E-08,6.598067688,1,0.007753849,0,2690.535507,0,0,1.1,0,66.78406162,0,0,0,0,0,0.180959684,729.9612756,0.25,12.15734253
5,1.12E-08,35.34980045,1,0.005196095,0,1650.33094,0,6.996180215,1.1,1,76.79121111,6.996180215,6.996180215,6.996180215,1,1,0.223126227,383.787417,0.25,6.516701887
6,2.20E-08,59.1730949,0.304442742,0.574669123,-1.418815649,2648.445929,74.76164849,5.835444063,1.1,0.222222222,49.5982288,5.173781453,2.126354893,1.134660211,9,2,0.164738642,57.35064013,0.25,7.024061098
7,1.49E-08,66.44101823,1,0.002656937,0,1541.16905,0,8.787435537,1.1,1,67.43847947,8.787435537,8.787435537,8.787435537,1,1,0.218603089,10392.4063,0.25,7.232973714
8,4.04E-08,46.93382447,1,0.003506899,0,2984.188549,0,5.470334978,1.1,1,25.42250689,5.470334978,5.470334978,5.470334978,1,1,0.126697439,5790.266099,0.25,7.770177585
9,2.82E-08,44.35444186,1,0.003329992,0,1877.123675,0,5.903629459,1.1,1,37.62949939,5.903629459,5.903629459,5.903629459,1,1,0.168519042,14558.13095,0.25,7.352352352
10,1.35E-08,42.18544067,1,0.005052805,0,3806.682872,54.7454409,7.108367812,1.1,1,32.82726152,6.660919027,5.326779323,3.992639618,2,2,0.127213475,658.4031411,0.25,10.54573092
11,1.93E-08,49.29836476,1,0.002860069,0,1971.763496,0,5.496824474,1.1,1,25.15164098,5.496824474,5.496824474,5.496824474,1,1,0.144946466,7937.625743,0.25,6.755459163
12,3.53E-08,32.518392,1,0.26303792,0,3870.503339,0,2.327153863,1.1,1,16.92308359,2.327153863,2.327153863,2.327153863,1,1,0.101439667,82.76621285,0.25,11.50076002
13,2.38E-08,11.85643771,1,0.015380144,0,2849.28384,0,1.58087699,1.1,1,35.78247447,1.58087699,1.58087699,1.58087699,1,1,0.144194496,273.3122126,0.25,6.725614503
14,2.22E-08,10.92855233,1,0.019118071,0,3122.68451,0,1.391830483,1.1,1,18.1325448,1.391830483,1.391830483,1.391830483,1,1,0.111501492,1330.974644,0.25,6.665925184
15,2.09E-08,75.87678631,1,0.002093077,0,3662.880638,0,11.01366267,1.1,1,73.57051685,11.01366267,11.01366267,11.01366267,1,1,0.168628435,3527.913125,0.25,9.20272124
16,1.59E-08,29.16893046,1,0.005357027,0,2245.769411,0,4.543834599,1.1,1,27.7661577,4.543834599,4.543834599,4.543834599,1,1,0.143445635,2580.186156,0.25,8.546138731
17,3.41E-08,72.3830144,0.454589578,0.506069899,-2.546888358,3403.867291,23.21630041,3.114141125,1.1,1,32.33406918,1.994432383,1.627938124,1.045896819,7,7,0.131381146,160.2812383,0.25,13.58988618
18,1.18E-08,60.35243935,1,0.003195763,0,1992.527192,0,5.902736021,1.1,1,20.03997763,5.902736021,5.902736021,5.902736021,1,1,0.133906437,655.7665906,0.25,7.889556223
19,2.90E-08,84.07182292,1,0.002250195,0,1418.34574,0,10.08216196,1.1,1,109.7257967,10.08216196,10.08216196,10.08216196,1,1,0.264329727,647.915192,0.25,6.427167909
20,1.87E-08,20.46727378,1,0.008435011,0,1481.737228,0,2.080993753,1.1,1,25.1121556,2.080993753,2.080993753,2.080993753,1,1,0.159346085,1433.803884,0.25,11.85889593
21,3.69E-08,30.39956997,1,0.007978916,0,2596.222509,36.36024797,3.543464873,1.1,1,20.49845793,2.665751601,2.228126485,1.501348302,4,4,0.123527473,354.7555815,0.25,7.710488266
22,2.23E-08,20.3817953,1,0.006401062,0,3154.667558,0,3.906387355,1.1,1,39.38889691,3.906387355,3.906387355,3.906387355,1,1,0.143916483,3363.776091,0.25,8.426760093
23,3.65E-08,45.21003641,1,0.003412008,0,3811.022536,0,5.073614306,1.1,1,18.41731003,5.073614306,5.073614306,5.073614306,1,1,0.104881452,4411.651492,0.25,8.128313499
24,3.84E-08,62.22535353,1,0.242867947,0,1614.487127,0,0,1.1,0,28.08581646,0,0,0,0,0,0.160739009,322.2874967,0.25,16.87279872
25,3.85E-08,69.97202707,1,0.003030062,0,2975.687136,0,5.043548241,1.1,1,18.23760378,5.043548241,5.043548241,5.043548241,1,1,0.113526513,3625.433466,0.25,13.44066289
26,2.72E-08,71.51194902,1,0.004436016,0,3651.740211,0,7.888878777,1.1,1,29.26118732,7.888878777,7.888878777,7.888878777,1,1,0.124136974,1533.868127,0.25,11.76936195
27,2.04E-08,69.97140983,1,0.002860069,0,3851.23828,0,8.675453162,1.1,1,33.83963883,8.675453162,8.675453162,8.675453162,1,1,0.128010494,9217.111315,0.25,11.4410707
28,1.28E-08,56.3650822,1,0.003201008,0,3178.157472,0,6.477196352,1.1,1,18.53430361,6.477196352,6.477196352,6.477196352,1,1,0.111661661,11305.86368,0.25,10.72479887
29,3.79E-08,29.7772315,1,0.004624844,0,2737.860628,0,5.318641506,1.1,1,71.18945494,5.318641506,5.318641506,5.318641506,1,1,0.183782959,5625.287393,0.25,12.06780855
30,2.15E-08,50.64187417,0.349717417,0.754161835,-1.484656318,3231.179068,89.1175722,5.068576367,1.1,0.222222222,40.99846121,4.573224208,1.373189069,1.003371457,9,2,0.144690263,268.1176,0.25,13.17206095
31,3.07E-08,69.95402996,1,0.289349079,0,1593.170317,0,0,1.1,0,26.49686962,0,0,0,0,0,0.15834873,278.4630477,0.25,21.97623549
32,2.81E-08,39.04142984,1,0.004062176,0,1693.852082,0,3.573386823,1.1,1,15.75076249,3.573386823,3.573386823,3.573386823,1,1,0.130450525,10375.15667,0.25,9.441478516
