,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,3.44E-08,41.66904957,1,0.010085821,0,3398.257654,0,4.945427956,2.017260761,1,20.77002267,4.945427956,4.945427956,4.945427956,1,1,0.113422013,641.3684231,0.396264291,6.964371779
1,2.60E-08,74.8060806,0.504375216,0.860334873,-2.808148048,2634.62155,48.37419691,3.758769223,0.887364706,0.666666667,40.59652552,2.242864306,1.242075955,1.016052087,15,10,0.154369207,19.608504,0.30403265,6.636080525
2,3.58E-08,70.22683342,0.341228534,0.224256992,-1.133816829,3933.514361,59.71761734,6.638567526,1.516639012,0.125,39.64282404,6.265083599,1.433405249,1.06555762,8,1,0.133998029,146.7045223,0.373890931,12.96314833
3,3.04E-08,39.64584551,1,0.005839825,0,3382.534136,0,6.865327848,1.568355983,1,50.81901303,6.865327848,6.865327848,6.865327848,1,1,0.153072959,1706.057833,0.301846672,6.93452712
4,1.45E-08,75.65174759,1,0.005201101,0,2540.883863,0,7.357552685,1.469241844,1,27.36628625,7.357552685,7.357552685,7.357552685,1,1,0.136997975,2678.276684,0.343941191,8.396915434
5,3.44E-08,57.96061837,1,0.005122185,0,3508.085614,0,7.448893023,1.171535095,1,41.19904113,7.448893023,7.448893023,7.448893023,1,1,0.141007681,5395.658497,0.284869935,6.844993141
6,2.54E-08,76.75340341,1,0.00522089,0,3121.194163,0,7.9574115,0.842669436,1,30.26580514,7.9574115,7.9574115,7.9574115,1,1,0.13228612,1437.479004,0.291691749,11.50076002
7,3.64E-08,70.37183029,1,0.371246099,0,2265.358024,21.41977438,5.518504354,0.623916401,0.666666667,42.28889015,4.360629543,4.314285744,1.691549425,3,2,0.164563536,297.5567702,0.367123743,11.05309013
8,1.93E-08,9.946248559,1,0.012174129,0,3829.003048,0,0,1.483356065,0,33.76025269,0,0,0,0,0,0.12815743,804.1450073,0.26613845,13.14221629
9,1.49E-08,14.69203823,1,0.01326704,0,3778.587845,0,1.523940908,2.18455627,1,19.76104717,1.523940908,1.523940908,1.523940908,1,1,0.107678899,392.9836464,0.271297874,10.42635228
10,1.33E-08,47.84446873,0.680048071,0.131780148,-1.575000263,1873.170327,50.11565893,4.901361837,1.107466263,0.375,24.28659345,4.10156243,1.771590981,1.092220201,8,3,0.145736021,363.40526,0.362342167,10.51588626
11,1.62E-08,52.90553896,0.318440357,0.469832182,-1.426101387,1412.624729,112.7100698,5.77789394,1.731221326,0.4,51.31812461,4.264819358,1.834600697,1.149946103,10,4,0.205455823,39.44554895,0.350954692,11.79920661
12,2.39E-08,50.98578136,0.277718795,0.298141003,-2.641731618,1505.096305,98.83583661,3.160178379,1.338307072,0.875,20.77949954,2.117876988,1.312775899,1.028748989,8,7,0.148819804,26.73501815,0.34535554,6.665925184
13,4.19E-08,23.61675855,1,0.00890708,0,1706.307688,0,1.923939486,0.981381183,1,22.43905685,1.923939486,1.923939486,1.923939486,1,1,0.146426455,374.552464,0.290162929,9.590701813
14,3.44E-08,19.18741299,1,0.008358955,0,3307.531346,0,3.021985404,1.981325316,1,53.13340504,3.021985404,3.021985404,3.021985404,1,1,0.156527875,659.2036981,0.340510076,11.23215808
15,2.98E-08,20.06887063,1,0.013145208,0,1822.513223,0,0,2.007098704,0,23.01867122,0,0,0,0,0,0.144468662,888.8248821,0.397789582,17.85767249
16,2.71E-08,36.40433342,1,0.006213188,0,3608.696826,0,8.511768601,0.725419247,1,82.96530084,8.511768601,8.511768601,8.511768601,1,1,0.17639482,3666.14964,0.359670249,11.97827457
17,1.46E-08,15.85927857,1,0.548330069,0,2329.47741,0,0,2.00491668,0,30.24028717,0,0,0,0,0,0.145796221,210.2816028,0.300858144,15.49994439
18,1.63E-08,23.56229136,1,0.018508196,0,1553.964792,584.715331,2.723903676,2.140008706,1,21.58500275,2.426987098,2.117733562,1.808480025,2,2,0.149121676,171.3893125,0.250519966,8.03877952
19,3.95E-08,35.16061683,1,0.006232977,0,2944.860378,0,7.313090378,1.265051542,1,130.620258,7.313090378,7.313090378,7.313090378,1,1,0.219593294,5585.329185,0.337278825,14.84336188
20,3.38E-08,13.35368126,1,0.018935919,0,2190.436769,0,0,1.817696944,0,24.86642839,0,0,0,0,0,0.139422017,217.3473258,0.371764836,10.57557558
21,3.90E-08,50.4592067,1,0.005371809,0,3495.84353,0,9.903117631,1.310579384,1,99.22894735,9.903117631,9.903117631,9.903117631,1,1,0.189234041,5266.766704,0.333029483,7.949245542
22,2.42E-08,49.48623694,1,0.649882793,0,2330.997161,114.1966004,4.041906969,0.635788383,0.5,30.25833638,3.615021981,1.79021767,1.009797522,4,2,0.145793523,25.9703289,0.266475416,7.441886331
23,3.35E-08,35.41174155,0.278554481,1.896956921,-1.62983585,3531.885666,96.84749508,3.382133121,1.595348159,0.166666667,91.60277358,3.044646283,1.328986552,1.019559205,6,1,0.18362753,35.27373925,0.332315031,12.09765321
24,1.02E-08,53.04134513,1,0.00505805,0,3614.271229,0,8.202742071,1.217617349,1,52.69690035,8.202742071,8.202742071,8.202742071,1,1,0.151550919,3618.683258,0.34667518,6.546546547
25,3.41E-08,42.38544312,1,0.009349823,0,3197.302158,40.99738684,4.337147447,1.621267632,1,16.326412,4.006833619,3.295500028,2.584166437,2,2,0.10682498,157.6641649,0.299844864,7.024061098
26,1.68E-08,56.26990537,0.397174266,1.464464188,-2.977654019,3092.08806,52.94680828,5.077660528,0.766020988,0.666666667,48.45057131,2.431242342,1.311751488,1.022888204,30,20,0.155233749,27.00220879,0.395917034,10.187595
27,2.79E-08,59.98265386,1,0.039689064,0,1558.767133,49.70999169,3.946961248,0.612201482,0.666666667,16.86310601,3.691826465,2.014308569,1.441730162,3,2,0.137200567,186.9419971,0.290745401,10.90386683
28,2.85E-08,33.21778723,1,0.254645109,0,3826.63846,0,0,1.221698438,0,15.93264346,0,0,0,0,0,0.099799247,163.7672329,0.33982674,21.02120639
29,1.48E-08,57.19206317,1,0.006906986,0,3736.953793,17.86254107,7.755631277,1.907535135,1,31.61274114,6.389678258,6.146002557,5.902326856,2,2,0.126401416,717.9042344,0.287396082,9.232565899
30,4.09E-08,1.569812572,1,0.004706621,0,3752.752989,0,0,0.786740917,0,25.14060975,0,0,0,0,0,0.116944304,1633.206391,0.306208826,27.4974975
31,1.69E-08,43.76807677,1,0.680775881,0,3137.411382,172.226348,2.256597898,1.488818962,1,17.58087651,2.158859639,1.642660203,1.126460766,2,2,0.110186101,130.4568638,0.324728731,11.41122604
32,3.65E-08,56.93466164,1,0.006989002,0,1775.51975,0,4.530699043,2.042088707,1,21.64859625,4.530699043,4.530699043,4.530699043,1,1,0.142781478,3631.076494,0.307665146,11.50076002
33,2.21E-08,67.19556077,1,0.007276058,0,3839.119684,21.5843609,6.756887356,1.184614753,1,25.59984756,5.374070228,5.362921874,5.351773519,2,2,0.116763124,232.2105196,0.318166571,6.785303822
34,2.99E-08,22.49151696,1,0.008844137,0,2054.772993,0,2.372283419,1.368930197,1,16.69862563,2.372283419,2.372283419,2.372283419,1,1,0.124721911,436.2189596,0.335389043,7.770177585
35,1.49E-08,50.12588345,0.250328049,0.758664846,-0.890600888,1843.116241,68.34663969,5.714688449,0.847014894,0.6,115.0070177,4.920107147,3.081517803,1.020224109,5,3,0.246052436,67.589066,0.277525162,24.36380825
36,1.86E-08,21.39077091,0.184664735,4.147597075,-2.486618916,2742.871758,383.238028,3.560787841,1.229905995,0.416666667,230.3856331,2.486487676,1.162852702,1.032560834,12,5,0.271677555,144.9505261,0.287463718,6.397323249
37,2.87E-08,70.89154116,1,0.004956722,0,2569.054277,0,6.602935434,1.255140261,1,24.54694995,6.602935434,6.602935434,6.602935434,1,1,0.131637174,1840.496158,0.256017351,11.76936195
38,2.23E-08,30.47408446,0.400122442,0.717904806,-1.805955198,2960.431694,69.11381195,7.519285551,1.73133238,0.08,145.2577336,6.296408104,1.385197887,1.007040979,25,2,0.227107706,510.27534,0.389417172,7.710488266
39,4.17E-08,52.70874538,1,0.005774021,0,2528.956353,0,3.902554867,2.005791388,1,17.08846805,3.902554867,3.902554867,3.902554867,1,1,0.117280118,5515.030935,0.323441752,12.18718719
