,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,1.63E-08,40.9580353,0.407030226,3.966730118,-2.663317311,1467.880884,150.3969178,4.032729265,1.1,0.333333333,141.1097804,2.836635616,1.245091543,1.086248774,15,5,0.284179381,98.4333171,0.25,6.576391206
1,2.81E-08,54.09624368,1,0.09764123,0,1688.062497,48.1341188,4.139654682,1.1,1,16.28996698,3.437490205,3.277893916,3.118297627,2,2,0.132073096,43.07900592,0.25,7.889556223
2,2.75E-08,49.05310356,1,0.336195946,0,2807.361465,0,0,1.1,0,17.77167546,0,0,0,0,0,0.114757341,13.59324188,0.25,19.55881808
3,2.67E-08,46.0496909,0.436405219,1.657391071,-2.703350833,3623.043215,78.29690948,3.694519137,1.1,0.333333333,59.83809444,2.593212341,1.143832498,1.001911547,15,5,0.157981128,277.1464711,0.25,9.023653283
4,1.73E-08,36.98982322,0.298226387,0.250588894,-3.077728865,1879.505146,131.4571164,2.948943988,1.1,1,15.20644917,2.021657176,1.75643294,1.250103687,5,5,0.124537047,37.56198129,0.25,7.979090201
5,3.92E-08,10.89227786,1,0.018012047,0,3826.417169,0,0,1.1,0,182.8419844,0,0,0,0,0,0.225111838,733.5024891,0.25,12.72439106
6,3.73E-08,31.83558328,0.393245988,0.777620316,-1.106643509,2827.712545,49.51763416,12.6346074,1.1,0.235294118,483.679771,10.37438907,2.046071135,1.006465401,17,4,0.344358932,441.0771578,0.25,7.292663033
7,2.61E-08,45.62419277,1,0.74669385,0,3722.637245,0,0,1.1,0,16.21055995,0,0,0,0,0,0.10130236,34.45084587,0.25,14.9030512
8,4.20E-08,35.4486485,1,0.670542002,0,2251.809053,0,0,1.1,0,16.80443799,0,0,0,0,0,0.121227535,16.65196735,0.25,10.30697364
9,4.07E-08,38.60695975,0.19221405,0.149339914,-2.093367936,3547.821875,47.74616447,3.284566663,1.1,0.571428571,36.61232251,2.528400339,1.60205996,1.080323259,7,4,0.13505965,129.3093982,0.25,11.94842991
10,1.63E-08,41.33616691,1,0.004433155,0,2293.986406,0,5.35514325,1.1,1,23.58547461,5.35514325,5.35514325,5.35514325,1,1,0.134892682,1450.819035,0.25,8.367070774
11,2.45E-08,31.21094481,0.169278638,0.152261972,-1.069986505,2515.231298,279.2456736,4.078767189,1.1,0.6,32.02083887,3.193179759,2.365158272,1.062827184,5,3,0.144851186,87.23697216,0.25,7.710488266
12,2.97E-08,36.9541211,0.517831377,0.104724169,-0.834175539,1820.918469,110.4027388,9.009696986,1.1,0.333333333,177.7933322,7.965414321,3.067228064,1.128515791,6,2,0.285657383,716.3193013,0.25,11.62013866
13,1.35E-08,18.69480207,1,0.009263992,0,3466.575412,0,3.453608997,1.1,1,32.98555807,3.453608997,3.453608997,3.453608997,1,1,0.131455328,2477.391552,0.25,12.3960998
14,3.98E-08,31.28560326,1,0.00652194,0,2318.286526,0,2.240753565,1.1,1,19.24895036,2.240753565,2.240753565,2.240753565,1,1,0.125617586,3293.384164,0.25,12.42594446
15,3.21E-08,19.47839065,1,0.356721878,0,1400.195021,0,0,1.1,0,18.18484981,0,0,0,0,0,0.145817907,23.34169686,0.25,6.785303822
16,1.20E-08,42.72329688,1,0.004328966,0,1491.144302,0,6.385913902,1.1,1,47.11247957,6.385913902,6.385913902,6.385913902,1,1,0.196114284,373.918452,0.25,6.815148482
17,3.15E-08,75.31161376,1,0.515247107,0,3030.60465,27.85465681,2.234719791,1.1,1,18.39484766,2.132080109,1.634322678,1.136565247,2,2,0.113159955,28.66965745,0.25,12.90345901
18,1.54E-08,50.26164802,0.440316744,0.596357107,-1.185008199,2812.973137,72.94295105,5.905006306,1.1,0.5,35.44563559,3.969472698,2.125615414,1.070472072,10,5,0.144356449,45.92348331,0.25,8.277536796
19,2.89E-08,31.35360622,1,0.246132851,0,2501.132049,238.5080809,3.164512049,1.1,0.5,21.78621654,2.880443136,1.452814848,1.074330606,4,2,0.127639628,93.93893912,0.25,7.889556223
20,2.05E-08,43.67839225,0.314414735,0.516012907,-1.078822571,3425.829717,88.05991786,5.826024739,1.1,0.571428571,41.56785145,4.042408573,2.416938539,1.04617156,7,4,0.142550167,101.2052678,0.25,6.636080525
21,1.17E-08,21.66365993,1,0.011270761,0,1934.250225,0,5.402069044,1.1,1,76.95799717,5.402069044,5.402069044,5.402069044,1,1,0.21177962,2790.670123,0.25,11.76936195
22,4.09E-08,26.38514488,1,3.14401412,0,2115.756264,0,0,1.1,0,79.30273742,0,0,0,0,0,0.207608268,12.80148053,0.25,12.15734253
23,3.74E-08,34.18251409,0.488666061,3.704794168,-1.834968509,3495.277682,98.86514642,12.60994791,1.1,0.05,604.1970258,9.106781597,1.713535126,1.049930182,60,3,0.345570051,211.3552262,0.25,10.75464353
24,1.27E-08,61.31584188,0.348049531,1.822836876,-2.019809888,2850.90556,52.14575874,3.964797411,1.1,0.333333333,29.18384481,3.371012807,1.456235834,1.061757958,9,3,0.134696721,13.40121706,0.25,12.09765321
25,1.42E-08,55.49878643,0.309943015,0.318649054,-1.415500138,3098.488241,77.69292311,7.507702903,1.1,0.357142857,44.30431512,5.334184318,2.027639846,1.142752688,14,5,0.1505691,94.89502667,0.25,9.620546472
26,4.19E-08,73.59088348,0.184281262,1.976015091,-1.37693695,1979.727108,51.14391893,4.355541775,1.1,0.6,75.50751727,3.825535007,2.020439936,1.27986918,5,3,0.208816791,14.54026484,0.25,7.979090201
27,2.79E-08,53.10236297,1,0.327491283,0,2337.438369,106.4689787,3.723360197,1.1,0.75,15.22643624,3.109164777,2.085786965,1.181808379,4,3,0.115857236,17.88027575,0.25,6.844993141
28,4.09E-08,3.923844033,1,0.007311821,0,3960.926322,0,0,1.1,0,22.02817363,0,0,0,0,0,0.109908439,14.79606289,0.25,11.56044934
29,2.35E-08,32.32541236,1,0.010128021,0,3801.330445,74.65968065,5.189182369,1.1,1,35.85608432,4.533370101,4.065513945,3.59765779,2,2,0.13107289,754.0173888,0.25,13.56004152
30,3.89E-08,9.898516188,1,0.014978647,0,1954.164448,0,0,1.1,0,27.58174868,0,0,0,0,0,0.149919236,998.4329557,0.25,10.15775034
31,1.73E-08,71.2172777,1,1.6781919,0,3387.21871,0,0,1.1,0,28.17574075,0,0,0,0,0,0.125693986,26.11221057,0.25,15.08211916
32,4.17E-08,15.44635535,1,0.009955168,0,3060.910568,0,2.646575043,1.1,1,80.59440691,2.646575043,2.646575043,2.646575043,1,1,0.184553329,1179.470566,0.25,8.546138731
33,2.91E-08,29.71226988,1,0.004858971,0,2307.660607,0,4.173470962,1.1,1,27.56296937,4.173470962,4.173470962,4.173470962,1,1,0.141804001,2799.122633,0.25,7.083750417
34,3.01E-08,75.76282654,0.689633402,4.545219898,-1.773828781,3435.221149,45.06255708,14.41135918,1.1,0.076086957,375.5501139,8.400357455,1.645587573,1.003953047,92,7,0.296625304,100.3797495,0.25,11.2918474
35,2.66E-08,20.11570828,1,0.008467913,0,3765.08158,0,1.993331705,1.1,1,18.59358189,1.993331705,1.993331705,1.993331705,1,1,0.105641207,917.9778453,0.25,12.96314833
36,1.75E-08,7.964826246,1,0.010293007,0,2437.361251,0,0,1.1,0,15.46468728,0,0,0,0,0,0.114844679,489.0810754,0.25,10.66510955
37,3.37E-08,15.97902682,1,0.023579836,0,3559.894998,635.1681301,1.872306694,1.1,1,20.13308682,1.558510776,1.482124382,1.405737988,2,2,0.110525254,128.897108,0.25,6.516701887
38,1.54E-08,50.20659108,0.677592325,3.567196846,-1.738275103,3717.511578,39.78194319,22.54202541,1.1,0.038834951,1164.952748,12.15268543,1.479604922,1.015877671,206,8,0.421362411,525.7919774,0.25,7.591109628
39,3.03E-08,54.22269327,1,0.002941847,0,1770.847924,0,10.48685406,1.1,1,136.8801198,10.48685406,10.48685406,10.48685406,1,1,0.264255174,784.2961664,0.25,7.740332926
