,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,3.00E-08,67.89751294,1,0.002986193,0,2761.101008,0,6.581137486,1.558479561,1,28.24872288,6.581137486,6.581137486,6.581137486,1,1,0.134671585,1009.873668,0.320867351,6.546546547
1,2.35E-08,20.47686884,1,0.109411716,0,2081.777376,0,1.074024644,1.122523778,1,19.09136272,1.074024644,1.074024644,1.074024644,1,1,0.129848821,410.6539234,0.352662712,14.7538279
2,1.35E-08,49.91367822,1,0.003082752,0,2803.597325,42.51647241,36.28096782,1.663522579,0.5,5820.915893,35.21096796,25.60936294,16.00775792,2,1,0.791399356,405.3035626,0.387101299,6.725614503
3,3.99E-08,27.48638259,1,0.004431009,0,3985.552142,0,6.65785309,0.763781973,1,82.81829506,6.65785309,6.65785309,6.65785309,1,1,0.170549216,1485.895581,0.276184774,6.665925184
4,1.51E-08,77.05173723,0.807278414,1.549515963,-2.306351435,3644.901173,44.53743652,8.783480428,1.237609597,0.066666667,76.66434771,6.218153163,1.394410213,1.029798832,60,4,0.17124045,218.1847423,0.271518064,12.36625514
5,2.28E-08,40.83259445,1,0.193636179,0,3428.940832,113.2372374,5.005045432,2.103015612,0.666666667,27.53935998,4.193951989,3.618511225,1.617384119,3,2,0.124232459,877.4396376,0.328259852,12.45578912
6,2.38E-08,56.79561068,1,0.003410816,0,1653.277088,0,4.934920317,1.515248723,1,18.12440325,4.934920317,4.934920317,4.934920317,1,1,0.137808653,1536.513451,0.294151966,7.024061098
7,1.13E-08,82.17972615,0.633539392,0.607666969,-0.884143844,2048.821665,38.9087801,7.19327306,0.932996158,0.142857143,33.56787509,6.875143675,1.21129922,1.007372156,7,1,0.157559174,45.32389523,0.347678126,12.48563378
8,2.76E-08,47.3024295,0.739290899,1.013258934,-1.972855559,2436.602546,89.5735911,8.60831967,1.884303498,0.209302326,157.8845571,5.436331637,1.859574032,1.002008179,43,9,0.249166002,265.5393215,0.398728542,6.636080525
9,2.35E-08,48.54217615,1,0.00334096,0,2557.144174,0,5.01129718,2.087122122,1,16.56081685,5.01129718,5.01129718,5.01129718,1,1,0.115632339,4645.951369,0.314784232,8.934119304
10,3.45E-08,32.83223189,0.267718644,1.355682135,-2.779197265,2746.247338,150.0463143,2.463233213,1.345614256,1,46.62841599,1.895554042,1.1625718,1.021748538,6,6,0.159443738,40.52513393,0.327301349,7.262818374
11,3.20E-08,68.69877355,0.507972925,0.662111759,-1.858121012,3305.849184,60.82988977,4.918760141,2.063718446,0.166666667,38.16514329,4.083134467,1.415499343,1.073561856,12,2,0.140205511,35.92425061,0.315634284,12.00811923
12,4.01E-08,60.65096392,1,0.002851725,0,2621.566501,0,5.664192536,1.072108653,1,21.81910951,5.664192536,5.664192536,5.664192536,1,1,0.125717531,1150.787021,0.275643011,8.008934861
13,2.58E-08,82.30937668,1,0.00204277,0,3408.767034,0,13.73291142,1.241843644,1,126.7002384,13.73291142,13.73291142,13.73291142,1,1,0.207028674,2235.790729,0.267110686,11.17246877
14,4.11E-08,57.93487727,1,0.002863884,0,3388.023797,0,5.792018403,0.914145343,1,21.7323157,5.792018403,5.792018403,5.792018403,1,1,0.115263105,6062.590381,0.278260029,9.978682386
15,2.58E-08,60.13185299,0.501137719,0.227759123,-1.734118159,2391.952562,42.09221682,4.894761264,1.37230674,0.363636364,28.01232359,3.344457544,1.545962616,1.098871416,11,4,0.140875668,74.34264436,0.257263797,6.33763393
16,1.87E-08,36.37823612,0.690898938,2.77406311,-1.665596589,2130.149326,80.54725182,8.547228516,0.797453731,0.041666667,215.0554987,7.724169127,1.404517089,1.016298339,24,1,0.28885771,34.56966843,0.297232595,12.78408038
17,2.70E-08,64.45149265,1,0.002690077,0,2834.648009,0,6.977693148,0.993090526,1,29.95644602,6.977693148,6.977693148,6.977693148,1,1,0.136134285,1775.763558,0.311926847,7.800022244
18,1.01E-08,41.72627499,0.267286503,0.587500811,-1.48227855,1514.378385,90.51875788,3.303048262,1.395736437,0.4,25.97412569,2.708394161,1.271373891,1.107221507,5,2,0.15998256,53.13092417,0.373225947,8.396915434
19,3.09E-08,20.18542917,1,0.00841713,0,1441.718524,0,2.232309234,1.471217973,1,23.14910215,2.232309234,2.232309234,2.232309234,1,1,0.156502647,1795.641644,0.323178706,7.203129055
