,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,1.13E-08,57.48676051,0.380422548,0.193621159,-2.061860239,3206.222516,77.94200648,4.264253332,1.173460795,0.454545455,15.80697747,2.992405224,1.435149314,1.018401272,11,5,0.10558175,56.57018716,0.393003159,6.158565973
1,2.25E-08,45.03145981,0.55690849,0.289417982,-1.571988262,3754.78881,92.99239215,8.575101509,1.784836294,0.461538462,100.0734419,4.731144846,1.987353796,1.082758082,26,12,0.185302625,19.66115298,0.337562091,6.815148482
2,4.07E-08,34.9066544,1,0.428519011,0,3621.229051,114.7443328,1.345913623,0.98445395,1,16.74945374,1.10543272,1.066859523,1.028286327,2,2,0.103359884,47.55733708,0.394167797,9.948837727
3,1.90E-08,16.09379585,1,0.239248991,0,1586.078487,0,0,1.407342056,0,201.9978886,0,0,0,0,0,0.312112514,53.96042187,0.293957179,23.14017721
4,3.85E-08,71.0492127,1,0.672642946,0,1535.926047,0,1.53695685,1.969183409,1,28.43055824,1.53695685,1.53695685,1.53695685,1,1,0.164100092,20.6435305,0.298329644,12.96314833
5,1.29E-08,39.93428235,1,0.004808903,0,1691.068615,0,4.48196737,1.974797938,1,18.44799442,4.48196737,4.48196737,4.48196737,1,1,0.137583527,402.7783826,0.318585986,7.710488266
6,4.18E-08,62.17452579,1,0.00326395,0,1446.053199,0,3.637213556,1.695762319,1,39.25708074,3.637213556,3.637213556,3.637213556,1,1,0.186443984,1658.324661,0.334544414,15.14180848
7,1.57E-08,33.7752092,1,0.004590988,0,3370.852861,0,5.174840727,0.734024227,1,26.77734345,5.174840727,5.174840727,5.174840727,1,1,0.123778827,1723.573563,0.348615872,6.844993141
8,3.74E-08,78.37159387,0.708991522,0.277499914,-1.953423154,2881.862706,43.83189428,5.060029538,0.762632076,0.5,26.9728143,3.240005119,1.683891198,1.039767664,14,7,0.130733871,62.7820595,0.324635649,7.024061098
9,3.20E-08,34.08380763,1,0.597141981,0,2995.143515,147.0135195,2.450247252,2.012529357,1,75.84042091,1.932591506,1.587419233,1.51719259,3,3,0.182164954,161.0874769,0.327046071,15.26118711
10,2.09E-08,33.06003287,1,0.002802134,0,3928.174258,0,27.60967047,1.729746483,1,2451.697845,27.60967047,27.60967047,27.60967047,1,1,0.530146457,4967.318243,0.359236608,10.36666296
11,1.67E-08,28.72660298,1,0.559538841,0,2259.612779,0,1.117386248,1.8795876,1,38.39524953,1.117386248,1.117386248,1.117386248,1,1,0.159484429,388.0977915,0.284325148,20.51384718
12,3.79E-08,16.14126255,1,0.007390022,0,3151.872243,0,5.933340162,1.913839219,1,391.6944861,5.933340162,5.933340162,5.933340162,1,1,0.309573241,2991.887731,0.293087274,10.45619694
13,1.86E-08,37.82374793,1,0.152647972,0,3334.469942,116.6609673,4.353996517,1.129496714,0.5,24.53493372,4.312120145,2.821635971,1.331151796,2,1,0.120658102,1482.485275,0.374906583,15.52978905
14,3.46E-08,48.57841785,1,0.282171011,0,2150.728761,0,1.243823843,1.97189671,1,21.75626911,1.243823843,1.243823843,1.243823843,1,1,0.134164224,174.0097507,0.37531378,15.70885701
15,1.05E-08,10.93998417,1,0.066807032,0,3133.852374,0,0,1.655556336,0,23.19311816,0,0,0,0,0,0.120891936,76.74226702,0.269868604,11.62013866
16,2.84E-08,11.20699904,1,0.016947031,0,2146.844881,0,0,1.542040817,0,37.72620963,0,0,0,0,0,0.161281529,2235.433402,0.295565963,17.55922589
17,2.49E-08,82.18794398,1,0.002721071,0,1976.752874,0,11.79985843,0.741560657,1,106.4135209,11.79985843,11.79985843,11.79985843,1,1,0.234235082,1433.22581,0.278970842,10.81433285
18,2.79E-08,56.7187143,1,0.449655056,0,1968.856213,36.44070603,1.84690764,0.695309702,1,22.01059803,1.351673848,1.255641457,1.227755899,3,3,0.13871063,186.3899698,0.279910232,13.05268231
19,3.95E-08,37.15012634,1,0.003953934,0,2950.518888,0,3.835798302,1.626721516,1,15.14585671,3.835798302,3.835798302,3.835798302,1,1,0.107012771,1785.561245,0.280605042,6.755459163
20,2.51E-08,53.45998151,0.445441717,0.162970781,-2.047260422,2843.672358,65.75457331,4.829782899,2.141639567,0.777777778,23.03143852,3.243547301,1.825515052,1.311265595,9,7,0.124580757,42.43202072,0.277244477,7.352352352
21,3.85E-08,26.45952334,1,2.541290045,0,2711.005737,92.15892966,1.460495634,0.95485348,1,190.12095,1.206522333,1.157088012,1.107653691,2,2,0.255821462,23.44019698,0.339389902,13.91817744
22,3.63E-08,51.54556587,1,0.003083944,0,2530.722198,0,3.15167291,0.88336239,1,21.92267965,3.15167291,3.15167291,3.15167291,1,1,0.127405111,5348.522482,0.293077653,16.36543951
23,3.27E-08,67.5087616,1,0.002104044,0,2488.603353,0,10.73903595,1.89166816,1,114.3386353,10.73903595,10.73903595,10.73903595,1,1,0.222185768,5054.158593,0.310619904,6.874837801
24,3.19E-08,10.27579699,1,0.012773037,0,3116.157613,0,0,1.566621162,0,24.67743916,0,0,0,0,0,0.123650921,353.9480552,0.295559522,11.82905127
25,1.30E-08,39.11741778,0.259969486,0.735384226,-4.537398217,3547.780826,71.81219175,2.635854356,1.623027269,1,18.48333766,1.50962982,1.220322275,1.00384027,9,9,0.107542056,60.83087781,0.255881103,11.20231342
26,2.59E-08,65.64922659,0.593481497,0.668848991,-2.189584875,2619.954913,47.45293105,3.808662597,1.30455937,0.4,41.52705052,2.921404568,1.327592435,1.013064307,10,4,0.155829455,133.7837238,0.360356397,14.87320654
27,3.76E-08,10.93881156,1,0.405184031,0,2280.257122,0,0,1.008980317,0,79.98832379,0,0,0,0,0,0.203072628,31.28861139,0.302238533,10.96355615
28,2.02E-08,27.10452348,1,0.334530115,0,2482.59312,0,1.8144161,1.16766094,1,42.62389471,1.8144161,1.8144161,1.8144161,1,1,0.160036726,802.5800155,0.348439172,17.32046862
29,1.00E-08,70.59089215,1,0.002610922,0,1462.074662,0,6.912093572,1.890251606,1,22.53843666,6.912093572,6.912093572,6.912093572,1,1,0.154390963,2193.95878,0.311952333,13.73910948
