,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,2.44E-08,32.38828246,0.169051014,0.15384388,-1.268465538,2791.035708,120.3993734,4.228650659,1.1,0.4,30.38866447,3.915236462,1.639610531,1.135707018,5,2,0.137494672,260.2227165,0.25,8.874429986
1,1.93E-08,77.70861443,0.633725104,0.032534838,-1.145603292,2074.816585,8.982942718,12.49539584,1.1,0.066666667,155.0833217,12.22174871,1.690701275,1.009828972,15,1,0.261315753,517.677101,0.25,7.024061098
2,1.31E-08,57.65895995,1,0.002251148,0,3767.428577,0,10.68427138,1.1,1,96.36525563,10.68427138,10.68427138,10.68427138,1,1,0.182780115,761.9859343,0.25,7.203129055
3,1.15E-08,58.73609191,0.297482527,0.839044094,-1.398448955,3060.386698,76.02019833,11.73224517,1.1,0.076923077,110.655223,9.822729116,1.775988452,1.069997439,26,2,0.205133064,241.8971359,0.25,12.93330367
4,2.36E-08,60.95966439,1,0.004865885,0,1851.17031,57.83322617,31.55640184,1.1,0.5,2090.668547,31.03882575,21.26956422,11.50030268,2,1,0.646026104,614.588283,0.25,12.06780855
5,2.68E-08,45.04265687,1,0.002948999,0,2810.351377,0,5.280557671,1.1,1,22.47517152,5.280557671,5.280557671,5.280557671,1,1,0.124056044,835.4552035,0.25,7.053905758
6,2.41E-08,40.77628287,1,0.002894878,0,3791.743996,0,7.24613312,1.1,1,52.078834,7.24613312,7.24613312,7.24613312,1,1,0.148563188,956.925673,0.25,6.815148482
7,2.94E-08,67.56918432,1,0.057997704,0,2375.360068,35.19668781,3.292278473,1.1,0.75,19.27939192,2.548188246,2.046319981,1.165332089,4,3,0.124668985,989.7610426,0.25,15.76854632
8,3.79E-08,49.86112709,1,0.031976938,0,3332.454698,19.19883286,4.133126917,1.1,0.333333333,20.22745609,3.949306158,1.783858161,1.493485362,3,1,0.113160833,383.744836,0.25,12.66470174
9,3.90E-08,46.19777723,0.404898976,0.212066889,-2.160385023,2309.697275,47.91899497,3.471827039,1.1,0.875,54.71336761,2.201228684,1.686585776,1.002667796,8,7,0.17816262,257.9445958,0.25,12.06780855
10,3.55E-08,73.16854241,0.552988454,0.292091846,-1.015081217,3347.795237,51.24664657,8.116098353,1.1,0.444444444,63.2153791,5.809297555,2.406432977,1.132189923,9,4,0.165193042,397.1023886,0.25,10.93371149
11,1.32E-08,55.75373606,0.49801014,0.659316778,-1.636951068,2860.576941,61.34541549,5.259235068,1.1,0.1,36.38399051,4.778634196,1.434060118,1.121053874,10,1,0.144806935,245.3353426,0.25,8.277536796
12,3.91E-08,62.05339247,0.502046282,0.297426939,-0.893451044,1642.369162,85.27874916,8.85317409,1.1,0.285714286,117.703066,7.964570769,1.718813685,1.199590209,7,2,0.25767728,187.125009,0.25,9.292255218
13,1.84E-08,54.68817025,0.60562741,0.267062664,-1.291598712,3119.481579,49.06206556,11.21647913,1.1,0.058823529,112.3023109,10.49802855,1.722176375,1.075017915,17,1,0.204835811,284.7754685,0.25,11.4410707
14,1.18E-08,9.868975186,1,0.009884834,0,2039.666813,0,0,1.1,0,45.16591902,0,0,0,0,0,0.174202482,249.1260597,0.25,20.18555593
15,1.28E-08,23.25584328,1,0.003968954,0,3819.773722,0,7.412758487,1.1,1,119.1808119,7.412758487,7.412758487,7.412758487,1,1,0.195296007,1033.830003,0.25,7.024061098
16,1.66E-08,65.99989007,0.532267488,0.258931875,-1.958160458,3322.174247,42.7843971,4.045854325,1.1,0.444444444,15.92167156,3.251896936,1.554571521,1.103393325,9,4,0.104590574,583.3902001,0.25,16.09683758
17,2.28E-08,22.48347557,1,1.05405879,0,3201.732084,213.6653239,1.528312823,1.1,1,55.67353647,1.33283118,1.198047013,1.063262846,2,2,0.160715737,137.0081735,0.25,12.45578912
18,4.02E-08,41.12779849,1,0.280366182,0,2887.890756,0,2.087747882,1.1,1,25.7261731,2.087747882,2.087747882,2.087747882,1,1,0.128598313,484.1854202,0.25,12.45578912
19,1.97E-08,16.35281731,1,0.077718973,0,1552.396114,0,0,1.1,0,76.14022623,0,0,0,0,0,0.227077621,703.8123802,0.25,19.88710933
20,3.64E-08,28.69065983,1,0.004801035,0,2859.329924,0,3.2172329,1.1,1,15.90444515,3.2172329,3.2172329,3.2172329,1,1,0.109914557,349.178975,0.25,7.50157565
21,1.34E-08,58.46032288,0.72371529,0.553176165,-2.001209325,2886.748912,37.64487109,7.229666191,1.1,0.323529412,64.90416476,3.893042771,1.726973719,1.029283114,34,11,0.175088779,254.664919,0.25,6.606235865
22,1.74E-08,84.28767574,0.694326602,0.694488049,-1.98283411,3780.873744,37.80670247,5.36607079,1.1,0.277777778,30.05778398,3.617550173,1.386716944,1.007054618,18,5,0.123810856,383.8234195,0.25,13.82864346
23,2.29E-08,42.16769287,1,0.256119967,0,2918.948555,35.13832958,3.9409554,1.1,0.666666667,31.36708679,3.122817925,3.092010213,1.060453749,3,2,0.136894619,1029.834323,0.25,15.61932303
24,3.35E-08,64.9744703,0.46673812,0.705887079,-2.696844578,3608.510943,50.77366301,3.961026187,1.1,1,34.36302484,2.483058047,1.965111544,1.309131335,7,7,0.131489654,180.6166195,0.25,9.76976977
25,1.97E-08,36.82460667,0.253197574,0.30907011,-1.804528778,2591.80606,72.3526113,7.007334632,1.1,0.217391304,87.8820296,4.69969804,1.659039111,1.014097418,23,5,0.200787338,434.7298506,0.25,11.70967264
