,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,3.52E-08,36.72552063,1,0.003775835,0,3421.101713,0,6.716801951,1.1,1,52.57138217,6.716801951,6.716801951,6.716801951,1,1,0.154228606,1484.908911,0.25,8.217847477
1,2.57E-08,24.57138029,1,0.003451109,0,3601.014836,0,19.34535942,1.1,1,1573.935659,19.34535942,19.34535942,19.34535942,1,1,0.470787025,2137.825073,0.25,9.20272124
2,3.36E-08,41.1654314,1,0.003142118,0,1866.87375,0,14.18423981,1.1,1,400.8898343,14.18423981,14.18423981,14.18423981,1,1,0.371484327,2181.068514,0.25,10.90386683
3,2.10E-08,45.60931694,1,0.004132271,0,1891.170183,0,5.008431341,1.1,1,22.80266311,5.008431341,5.008431341,5.008431341,1,1,0.14225104,501.3543678,0.25,6.695769844
4,3.99E-08,72.65572906,0.66789508,0.262609005,-2.028164046,3552.98346,20.47236068,6.231964365,1.1,0.259259259,51.74473573,4.30529072,1.404656511,1.002003394,27,7,0.151493777,703.4753994,0.25,9.053497942
5,2.55E-08,31.76392999,1,0.004309893,0,2767.438527,0,4.459763855,1.1,1,24.62737366,4.459763855,4.459763855,4.459763855,1,1,0.128553479,469.8878746,0.25,7.053905758
6,2.85E-08,42.84170374,1,0.203898907,0,1929.632949,64.62866743,3.119258195,1.1,1,17.45684079,2.914492759,2.344790177,1.775087595,2,2,0.12926098,42.64505223,0.25,8.784896007
7,3.51E-08,42.41489985,1,0.00316906,0,3969.836649,0,7.875997398,1.1,1,62.53113107,7.875997398,7.875997398,7.875997398,1,1,0.155505235,2682.921949,0.25,7.441886331
8,3.60E-08,29.34795993,1,0.914113998,0,2600.484222,0,0,1.1,0,30.63745623,0,0,0,0,0,0.141157283,19.76110811,0.25,16.03714826
9,2.08E-08,41.10180145,1,0.003895044,0,1681.481641,0,3.968417381,1.1,1,16.32331723,3.968417381,3.968417381,3.968417381,1,1,0.132335357,4601.103421,0.25,6.158565973
10,3.13E-08,57.9623227,1,0.524597883,0,2928.200311,58.51532644,2.237796299,1.1,1,19.91411701,2.091484508,1.681681766,1.271879024,2,2,0.117532296,130.2765378,0.25,11.82905127
11,3.37E-08,29.81721636,0.284517818,3.735943794,-1.394501413,2040.71421,218.5770863,8.067418385,1.1,0.071428571,630.5283398,7.5221502,1.47883354,1.087111292,14,1,0.419383434,254.0045452,0.25,12.99299299
12,2.29E-08,19.00562355,0.077611728,0.189988136,-1.165625047,3640.920985,692.0595557,5.02876516,1.1,0.6,100.4759048,4.218467909,2.572146422,1.186791041,5,3,0.187465212,114.6090936,0.25,6.33763393
13,3.39E-08,80.01202981,0.633720963,0.182426691,-1.099925953,1555.023729,49.6733543,4.596938561,1.1,0.166666667,22.85582486,4.444486651,1.24653838,1.051394556,6,1,0.151958066,59.81481209,0.25,7.531420309
14,1.78E-08,72.53681117,0.572622579,0.805294275,-2.551261344,3099.586065,49.54061327,3.429054337,1.1,0.7,25.98082751,2.305783538,1.252855753,1.071887383,10,7,0.126014414,24.16400597,0.25,13.91817744
15,1.99E-08,75.30728085,0.442492848,0.040890932,-1.131817712,2601.959491,45.09991631,5.703876413,1.1,0.428571429,20.44110257,4.127532188,1.823259934,1.154347314,7,3,0.123321385,145.5668452,0.25,7.053905758
16,1.91E-08,48.24320457,0.269170878,1.351182222,-2.514722514,1649.711449,95.62737584,4.176700107,1.1,0.071428571,80.24074119,3.322287967,1.447302112,1.025484423,14,1,0.22644676,21.51090835,0.25,11.94842991
17,3.55E-08,58.00863033,1,0.200651169,0,2287.902398,0,2.757614304,1.1,1,30.9484932,2.757614304,2.757614304,2.757614304,1,1,0.147810222,904.2688726,0.25,14.12709005
18,1.89E-08,44.15058834,1,0.006500006,0,2967.623135,16.98916873,5.482138729,1.1,0.5,76.07309317,5.429856177,3.550620703,1.671385229,2,1,0.182913,2980.953774,0.25,25.67697327
19,3.87E-08,65.41150921,1,0.002815008,0,1850.289003,0,6.888064515,1.1,1,40.14744301,6.888064515,6.888064515,6.888064515,1,1,0.173025417,2787.091557,0.25,7.47173099
20,2.74E-08,77.63471606,1,0.002580881,0,2057.199928,0,6.162957168,1.1,1,23.3411441,6.162957168,6.162957168,6.162957168,1,1,0.139396652,5667.689927,0.25,7.053905758
21,1.52E-08,62.9947494,0.373499455,1.170029163,-1.575789358,1528.994674,66.29830034,8.311549804,1.1,0.3125,92.83660548,6.505358906,2.398909521,1.052705884,16,5,0.243823123,31.98266831,0.25,12.72439106
22,3.80E-08,55.61291156,1,0.068659306,0,2224.608853,103.9384219,4.257705134,1.1,0.25,17.02281839,4.157514365,1.276569172,1.050962814,4,1,0.122244614,67.68428465,0.25,7.770177585
23,3.34E-08,35.00979608,1,0.020401955,0,1435.669312,43.11970348,3.293522402,1.1,1,40.65054453,2.979690519,2.540202058,2.100713598,2,2,0.18907805,82.9745399,0.25,11.79920661
24,3.88E-08,30.21284281,0.161025741,0.613195896,-1.760686193,2542.342558,132.1784023,5.13138649,1.1,0.461538462,113.6333327,3.491559165,1.624942458,1.005807121,13,6,0.220154562,322.8600715,0.25,6.964371779
25,1.91E-08,48.72088569,1,0.002652168,0,2548.24569,0,8.880820582,1.1,1,61.51263424,8.880820582,8.880820582,8.880820582,1,1,0.179285351,1625.437493,0.25,12.09765321
26,3.18E-08,26.18027664,1,0.003597975,0,3347.608097,0,6.466050847,1.1,1,86.09863628,6.466050847,6.466050847,6.466050847,1,1,0.183115181,3217.525763,0.25,6.755459163
