,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,1.47E-08,73.84388373,1,0.00297904,0,1978.191426,0,7.772106887,1.1,1,30.08047863,7.772106887,7.772106887,7.772106887,1,1,0.153688937,1816.650837,0.25,11.590294
1,1.14E-08,64.19427991,1,0.010429144,0,2209.732335,85.18533199,6.145202255,1.1,0.333333333,17.32905256,6.064738335,1.772706677,1.507554461,3,1,0.123248652,329.1002628,0.25,10.51588626
2,1.32E-08,37.09705206,0.293866012,0.638099909,-2.055054137,3652.40822,96.8359279,5.158404783,1.1,0.571428571,36.96108441,3.162957598,1.601973819,1.131683228,14,8,0.134181382,57.76122027,0.25,13.85848812
3,1.76E-08,63.83221088,0.191987577,0.598755836,-2.643658222,2671.236234,64.18163368,2.525973128,1.1,1,17.3281284,1.826618423,1.358897888,1.101313671,5,5,0.11569562,48.40019659,0.25,10.24728432
4,1.27E-08,6.603268771,1,0.00756216,0,2200.339201,0,0,1.1,0,33.22807702,0,0,0,0,0,0.153335361,936.8505823,0.25,7.382197012
5,2.32E-08,18.38064848,1,0.008048773,0,1926.819986,0,1.655993514,1.1,1,20.80831716,1.655993514,1.655993514,1.655993514,1,1,0.137120504,529.6492105,0.25,10.78448819
6,1.57E-08,45.90022777,0.377993886,0.283925056,-1.355308803,2250.53902,38.49794671,5.653695409,1.1,0.285714286,42.55005758,4.916379852,1.824525993,1.094858405,7,2,0.165262759,1004.566617,0.25,11.97827457
7,3.39E-08,79.42051384,1,0.004585981,0,1443.536351,33.1127319,10.77816696,1.1,1,138.3215764,10.22891375,7.947097077,5.665280402,2,2,0.283873291,137.4980744,0.25,6.695769844
8,1.14E-08,47.21657364,0.580176806,0.939839125,-2.07533993,1957.10773,54.835252,7.739354653,1.1,0.166666667,111.288922,5.259677019,1.395965155,1.014937578,42,7,0.238551892,917.5782591,0.25,11.20231342
9,1.44E-08,43.69536415,1,1.168711901,0,3005.615468,77.24170785,2.213677284,1.1,1,27.28735143,1.577199262,1.420907076,1.01136668,4,4,0.129413561,47.03463114,0.25,12.45578912
10,1.85E-08,12.91330536,1,0.277192354,0,3701.056098,0,1.163429995,1.1,1,19.31076497,1.163429995,1.163429995,1.163429995,1,1,0.107595738,69.77718955,0.25,6.576391206
