,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,3.26E-08,53.07914562,1,0.438318968,0,2384.125705,0,1.790733234,1.1,1,15.6259588,1.790733234,1.790733234,1.790733234,1,1,0.116093964,6.531187754,0.25,10.78448819
1,2.35E-08,34.56614921,1,0.556251049,0,2084.530484,0,0,1.1,0,18.9283622,0,0,0,0,0,0.129421191,36.79303739,0.25,11.97827457
2,3.60E-08,42.20112215,1,0.038908958,0,1431.870819,81.75040806,2.413629896,1.1,1,17.46031542,2.256963169,1.812842165,1.368721161,2,2,0.142786302,167.8754297,0.25,10.60542024
3,3.71E-08,21.36829055,1,0.008793116,0,1737.950451,0,0,1.1,0,16.12730085,0,0,0,0,0,0.130360263,545.3162469,0.25,13.85848812
4,3.60E-08,34.27696475,1,0.306191206,0,3418.360446,79.99384587,2.997226997,1.1,1,39.48518252,2.307952477,1.74901443,1.542842335,4,4,0.140230526,215.8991309,0.25,12.90345901
5,1.10E-08,82.81289724,0.61218815,1.778223991,-3.919402034,2976.14339,53.34159538,3.592231414,1.1,0.833333333,58.61249708,2.088891041,1.28932948,1.004169861,18,15,0.167526142,35.42527125,0.25,6.964371779
6,4.07E-08,2.943533007,1,0.003515005,0,3479.874566,0,0,1.1,0,572.498646,0,0,0,0,0,0.339917942,6.779219541,0.25,13.26159493
7,3.80E-08,52.44577736,1,0.004270792,0,2617.511364,19.94247676,4.514712796,1.1,1,15.02114322,3.912701775,3.545754435,3.178807094,2,2,0.1110645,393.1777625,0.25,7.382197012
8,1.12E-08,41.75870404,1,0.113682747,0,1894.320771,114.4542471,4.13428461,1.1,0.333333333,18.35304842,4.053440317,1.410503959,1.079706408,3,1,0.132247872,104.8629394,0.25,7.113595077
9,1.32E-08,63.65632372,1,1.09207201,0,1675.184386,0,0,1.1,0,29.21634049,0,0,0,0,0,0.1608761,7.189423459,0.25,10.15775034
10,2.56E-08,49.35694581,1,0.854048967,0,2110.71022,51.13589574,1.80772908,1.1,1,26.60406952,1.610475133,1.405523638,1.200572143,2,2,0.144369998,38.24968787,0.25,7.322507693
11,1.52E-08,64.2356307,0.701273843,2.7177701,-2.413269823,2743.827688,58.11152399,8.67351055,1.1,0.109756098,181.2438533,5.048713326,1.282560571,1.004335541,82,9,0.250768288,525.1543124,0.25,9.501167835
12,2.26E-08,58.36882327,0.319089114,0.265944004,-2.097275257,3803.867522,65.05541796,4.826502933,1.1,0.357142857,25.00559098,3.368353103,1.468716878,1.095399467,14,5,0.116209342,53.56708406,0.25,6.695769844
13,3.53E-08,58.33940804,0.201980521,0.962227345,-1.997496071,3438.879388,67.84122916,3.046408262,1.1,0.571428571,35.41185948,2.243419354,1.184354721,1.021084328,7,4,0.134962897,27.41825104,0.25,8.008934861
14,2.29E-08,26.53609523,1,0.004152775,0,1601.715188,0,6.866680828,1.1,1,126.2379936,6.866680828,6.866680828,6.866680828,1,1,0.26597372,1631.123228,0.25,8.814740667
